Longitud de onda (Å),espectro
4000.0,1.0714055
4000.050000000745,0.93879086
4000.10000000149,0.9683147
4000.150000002235,0.9686556
4000.2000000029802,0.7164077
4000.2500000037253,0.5667732
4000.3000000044703,0.61079466
4000.3500000052154,0.68386924
4000.4000000059605,0.50909626
4000.4500000067055,0.39197114
4000.5000000074506,0.36341974
4000.5500000081956,0.74295545
4000.6000000089407,0.9535597
4000.6500000096858,1.1150649
4000.700000010431,1.2196568
4000.750000011176,1.1905687
4000.800000011921,1.0360298
4000.850000012666,1.1383734
4000.900000013411,1.2196023
4000.950000014156,1.2409365
4001.000000014901,0.9768268
4001.050000015646,0.7724739
4001.1000000163913,0.59764564
4001.1500000171363,0.4780291
4001.2000000178814,0.599747
4001.2500000186265,0.81728876
4001.3000000193715,0.9020515
4001.3500000201166,0.992096
4001.4000000208616,0.79857266
4001.4500000216067,0.68301135
4001.5000000223517,0.6950198
4001.550000023097,0.8218123
4001.600000023842,0.5632171
4001.650000024587,0.26881745
4001.700000025332,0.28780696
4001.750000026077,0.6703178
4001.800000026822,1.0600351
4001.850000027567,1.2588731
4001.900000028312,1.1653136
4001.9500000290573,1.0313089
4002.0000000298023,0.96208185
4002.0500000305474,0.90063816
4002.1000000312924,0.9932967
4002.1500000320375,1.1272333
4002.2000000327826,1.2301449
4002.2500000335276,1.3039707
4002.3000000342727,1.1695714
4002.3500000350177,1.0335176
4002.400000035763,0.7895192
4002.450000036508,0.70617235
4002.500000037253,0.5074842
4002.550000037998,0.7339567
4002.600000038743,0.8554132
4002.650000039488,0.6551797
4002.700000040233,0.8630636
4002.750000040978,1.1111512
4002.8000000417233,1.0327317
4002.8500000424683,0.7861078
4002.9000000432134,0.68487424
4002.9500000439584,0.5882142
4003.0000000447035,0.94492024
4003.0500000454485,1.2402052
4003.1000000461936,1.1657988
4003.1500000469387,1.0880283
4003.2000000476837,1.0708225
4003.250000048429,1.0787991
4003.300000049174,1.2375314
4003.350000049919,1.3443687
4003.400000050664,1.386684
4003.450000051409,1.0588063
4003.500000052154,1.0618836
4003.550000052899,0.89560556
4003.600000053644,1.0503525
4003.6500000543892,1.0331709
4003.7000000551343,0.880843
4003.7500000558794,0.56393003
4003.8000000566244,0.5566707
4003.8500000573695,0.8638002
4003.9000000581145,0.92487174
4003.9500000588596,0.85606927
4004.0000000596046,0.7275578
4004.0500000603497,0.6475911
4004.1000000610948,0.8915952
4004.15000006184,0.923144
4004.200000062585,0.91276705
4004.25000006333,0.99373686
4004.300000064075,1.0400679
4004.35000006482,1.1028093
4004.400000065565,1.2009857
4004.45000006631,1.1870606
4004.500000067055,1.0666343
4004.5500000678003,1.038029
4004.6000000685453,0.7731119
4004.6500000692904,0.6952583
4004.7000000700355,0.6517473
4004.7500000707805,0.57254666
4004.8000000715256,0.38836813
4004.8500000722706,0.33298644
4004.9000000730157,0.2739671
4004.9500000737607,0.3041117
4005.000000074506,0.31315106
4005.050000075251,0.22305956
4005.100000075996,0.126812
4005.150000076741,0.20590192
4005.200000077486,0.26037002
4005.250000078231,0.22564235
4005.300000078976,0.13001853
4005.350000079721,0.14058518
4005.4000000804663,0.21311784
4005.4500000812113,0.27566147
4005.5000000819564,0.31234542
4005.5500000827014,0.44728848
4005.6000000834465,0.4762343
4005.6500000841916,0.26206774
4005.7000000849366,0.40876633
4005.7500000856817,0.5556411
4005.8000000864267,0.80998373
4005.850000087172,0.8989626
4005.900000087917,0.8471853
4005.950000088662,0.74895567
4006.000000089407,0.8364022
4006.050000090152,0.93776524
4006.100000090897,0.64938
4006.150000091642,0.6091441
4006.200000092387,0.6567191
4006.2500000931323,0.6187877
4006.3000000938773,0.5101488
4006.3500000946224,0.6056077
4006.4000000953674,0.87651443
4006.4500000961125,0.89700377
4006.5000000968575,0.88203233
4006.5500000976026,0.6327095
4006.6000000983477,0.49283454
4006.6500000990927,0.3640846
4006.700000099838,0.3360707
4006.750000100583,0.47332883
4006.800000101328,0.53181577
4006.850000102073,0.84905744
4006.900000102818,0.99141866
4006.950000103563,0.94211125
4007.000000104308,0.7971301
4007.050000105053,0.8133105
4007.1000001057982,0.95379657
4007.1500001065433,0.8979753
4007.2000001072884,0.6024039
4007.2500001080334,0.34138528
4007.3000001087785,0.46860617
4007.3500001095235,0.6439516
4007.4000001102686,0.7463614
4007.4500001110137,0.6507293
4007.5000001117587,0.7603817
4007.5500001125038,0.8710879
4007.600000113249,0.9785471
4007.650000113994,1.1064724
4007.700000114739,1.1258758
4007.750000115484,1.0668107
4007.800000116229,0.86082554
4007.850000116974,0.7887573
4007.900000117719,0.6451218
4007.9500001184642,0.47251365
4008.0000001192093,0.45844114
4008.0500001199543,0.48109308
4008.1000001206994,0.5451939
4008.1500001214445,0.6650316
4008.2000001221895,0.8927252
4008.2500001229346,1.0755118
4008.3000001236796,1.2608873
4008.3500001244247,1.1614059
4008.4000001251698,1.1118449
4008.450000125915,1.1585975
4008.50000012666,1.2278979
4008.550000127405,1.0249839
4008.60000012815,0.8338222
4008.650000128895,0.68584055
4008.70000012964,0.5209559
4008.750000130385,0.6526444
4008.80000013113,0.60370064
4008.8500001318753,0.52829355
4008.9000001326203,0.28518805
4008.9500001333654,0.30625945
4009.0000001341105,0.57097244
4009.0500001348555,0.82273644
4009.1000001356006,0.7740414
4009.1500001363456,0.7455264
4009.2000001370907,0.86386245
4009.2500001378357,1.1383436
4009.300000138581,1.3460033
4009.350000139326,1.3854003
4009.400000140071,1.3362688
4009.450000140816,1.3034834
4009.500000141561,0.8962978
4009.550000142306,0.5284223
4009.600000143051,0.35302266
4009.650000143796,0.31436118
4009.7000001445413,0.23772976
4009.7500001452863,0.35097578
4009.8000001460314,0.69949377
4009.8500001467764,0.9851004
4009.9000001475215,1.1262437
4009.9500001482666,1.1201948
4010.0000001490116,1.0684973
4010.0500001497567,1.2059042
4010.1000001505017,1.0568978
4010.150000151247,0.7990918
4010.200000151992,0.8326233
4010.250000152737,1.1246711
4010.300000153482,1.258168
4010.350000154227,1.1000688
4010.400000154972,1.0286009
4010.450000155717,0.81546116
4010.500000156462,0.71818995
4010.5500001572073,0.61373854
4010.6000001579523,0.6912647
4010.6500001586974,0.7993191
4010.7000001594424,0.8390167
4010.7500001601875,0.6161569
4010.8000001609325,0.55328745
4010.8500001616776,0.7993961
4010.9000001624227,0.8184615
4010.9500001631677,0.79643863
4011.000000163913,0.8554155
4011.050000164658,0.75647485
4011.100000165403,0.63293266
4011.150000166148,0.882965
4011.200000166893,1.0944375
4011.250000167638,1.1126852
4011.300000168383,0.99811864
4011.350000169128,0.6767986
4011.4000001698732,0.48125198
4011.4500001706183,0.65710086
4011.5000001713634,0.738775
4011.5500001721084,0.8670317
4011.6000001728535,0.94021505
4011.6500001735985,0.92809373
4011.7000001743436,0.6396544
4011.7500001750886,0.68203944
4011.8000001758337,0.80975735
4011.8500001765788,0.9642786
4011.900000177324,0.99341834
4011.950000178069,0.9989967
4012.000000178814,1.1410606
4012.050000179559,0.9900966
4012.100000180304,0.84815884
4012.150000181049,0.6405311
4012.200000181794,0.39705238
4012.250000182539,0.32977712
4012.3000001832843,0.33837065
4012.3500001840293,0.31943613
4012.4000001847744,0.2981242
4012.4500001855195,0.45843
4012.5000001862645,0.63394105
4012.5500001870096,0.75978726
4012.6000001877546,0.68307877
4012.6500001884997,0.61718315
4012.7000001892447,0.56418693
4012.75000018999,0.66589826
4012.800000190735,0.86815554
4012.85000019148,1.1222584
4012.900000192225,1.4646267
4012.95000019297,1.2765102
4013.000000193715,1.3787942
4013.05000019446,1.2639496
4013.100000195205,1.2354391
4013.1500001959503,1.1827
4013.2000001966953,0.9801992
4013.2500001974404,0.8470147
4013.3000001981854,1.0527526
4013.3500001989305,1.3339335
4013.4000001996756,1.3635871
4013.4500002004206,1.2348987
4013.5000002011657,1.043486
4013.5500002019107,0.67328537
4013.600000202656,0.3698772
4013.650000203401,0.38496634
4013.700000204146,0.52670443
4013.750000204891,0.47887987
4013.800000205636,0.35059616
4013.850000206381,0.26648208
4013.900000207126,0.37034377
4013.950000207871,0.42353347
4014.0000002086163,0.740126
4014.0500002093613,1.14607
4014.1000002101064,1.298558
4014.1500002108514,1.2429597
4014.2000002115965,1.028256
4014.2500002123415,0.6138214
4014.3000002130866,0.6124326
4014.3500002138317,0.8814658
4014.4000002145767,0.84014624
4014.450000215322,0.626364
4014.500000216067,0.27457628
4014.550000216812,0.35894603
4014.600000217557,0.61908084
4014.650000218302,0.7765003
4014.700000219047,0.9384105
4014.750000219792,1.0309883
4014.800000220537,1.1225401
4014.8500002212822,0.8852066
4014.9000002220273,0.6994876
4014.9500002227724,0.7095434
4015.0000002235174,0.9476745
4015.0500002242625,1.1577834
4015.1000002250075,1.1718667
4015.1500002257526,0.94203496
4015.2000002264977,0.96355104
4015.2500002272427,1.1738765
4015.3000002279878,1.0775635
4015.350000228733,0.72535723
4015.400000229478,0.688572
4015.450000230223,0.7798795
4015.500000230968,0.8491081
4015.550000231713,0.7116854
4015.600000232458,0.57731545
4015.650000233203,0.7033095
4015.7000002339482,1.0425107
4015.7500002346933,1.2304298
4015.8000002354383,1.2817528
4015.8500002361834,1.1611568
4015.9000002369285,1.0419766
4015.9500002376735,1.0231445
4016.0000002384186,1.0229613
4016.0500002391636,1.0931412
4016.1000002399087,1.2031957
4016.1500002406538,1.2773366
4016.200000241399,1.2052985
4016.250000242144,0.94741476
4016.300000242889,0.79950273
4016.350000243634,0.7686619
4016.400000244379,0.5726325
4016.450000245124,0.51227695
4016.500000245869,0.663925
4016.550000246614,0.9117341
4016.6000002473593,1.0705519
4016.6500002481043,1.1153704
4016.7000002488494,1.0342182
4016.7500002495944,0.87009025
4016.8000002503395,0.73118764
4016.8500002510846,0.81503516
4016.9000002518296,0.9046303
4016.9500002525747,0.80809385
4017.0000002533197,0.66972727
4017.050000254065,0.4721648
4017.10000025481,0.26154572
4017.150000255555,0.17774117
4017.2000002563,0.4429835
4017.250000257045,0.76826525
4017.30000025779,0.88855433
4017.350000258535,0.9442127
4017.40000025928,0.81667346
4017.4500002600253,0.495426
4017.5000002607703,0.5098279
4017.5500002615154,0.52456385
4017.6000002622604,0.7756566
4017.6500002630055,1.036774
4017.7000002637506,0.9418195
4017.7500002644956,0.68060976
4017.8000002652407,0.7015808
4017.8500002659857,1.0287656
4017.900000266731,1.2006096
4017.950000267476,1.0849181
4018.000000268221,0.71828437
4018.050000268966,0.4259376
4018.100000269711,0.18853608
4018.150000270456,0.18697035
4018.200000271201,0.26099998
4018.250000271946,0.29994327
4018.3000002726912,0.34117278
4018.3500002734363,0.5603148
4018.4000002741814,0.78304535
4018.4500002749264,0.9945701
4018.5000002756715,1.1624227
4018.5500002764165,1.333593
4018.6000002771616,1.3889816
4018.6500002779067,1.4098421
4018.7000002786517,1.2964334
4018.7500002793968,1.1055552
4018.800000280142,0.8439488
4018.850000280887,0.73453057
4018.900000281632,0.9365699
4018.950000282377,0.8726245
4019.000000283122,0.70858616
4019.050000283867,0.42954493
4019.100000284612,0.48282406
4019.1500002853572,0.65893
4019.2000002861023,0.7987282
4019.2500002868474,0.5594907
4019.3000002875924,0.46722904
4019.3500002883375,0.75428486
4019.4000002890825,1.0637146
4019.4500002898276,1.1377223
4019.5000002905726,1.1439103
4019.5500002913177,1.1381714
4019.6000002920628,1.2147176
4019.650000292808,1.3255081
4019.700000293553,1.3063233
4019.750000294298,1.1491864
4019.800000295043,0.87461835
4019.850000295788,0.8998383
4019.900000296533,0.935659
4019.950000297278,0.7820638
4020.000000298023,0.599593
4020.0500002987683,0.4913097
4020.1000002995133,0.540098
4020.1500003002584,0.6822684
4020.2000003010035,0.60087466
4020.2500003017485,0.5300758
4020.3000003024936,0.4101026
4020.3500003032386,0.3500864
4020.4000003039837,0.27212843
4020.4500003047287,0.2991069
4020.500000305474,0.44398466
4020.550000306219,0.79572046
4020.600000306964,1.0524322
4020.650000307709,1.1982584
4020.700000308454,1.3478074
4020.750000309199,1.0909475
4020.800000309944,0.75336826
4020.850000310689,0.34581575
4020.9000003114343,0.24206677
4020.9500003121793,0.38354582
4021.0000003129244,0.78591084
4021.0500003136694,1.0226792
4021.1000003144145,1.1077055
4021.1500003151596,1.2153668
4021.2000003159046,1.2004216
4021.2500003166497,1.069744
4021.3000003173947,0.7633245
4021.35000031814,0.7058294
4021.400000318885,0.9168614
4021.45000031963,1.1547534
4021.500000320375,1.1210612
4021.55000032112,0.7724122
4021.600000321865,0.4350631
4021.65000032261,0.34097773
4021.700000323355,0.36709064
4021.7500003241003,0.3200421
4021.8000003248453,0.23572794
4021.8500003255904,0.27833846
4021.9000003263354,0.32004276
4021.9500003270805,0.6281014
4022.0000003278255,0.85837114
4022.0500003285706,0.9882584
4022.1000003293157,0.9387157
4022.1500003300607,0.7533561
4022.200000330806,0.48111576
4022.250000331551,0.49350706
4022.300000332296,0.66864604
4022.350000333041,0.8407236
4022.400000333786,0.7909021
4022.450000334531,0.6955409
4022.500000335276,0.88777506
4022.550000336021,1.0621558
4022.6000003367662,1.0089588
4022.6500003375113,0.7888664
4022.7000003382564,0.569984
4022.7500003390014,0.5728955
4022.8000003397465,0.8674402
4022.8500003404915,1.0306196
4022.9000003412366,1.0406803
4022.9500003419816,0.90971166
4023.0000003427267,0.6904198
4023.0500003434718,0.74758357
4023.100000344217,1.000599
4023.150000344962,0.99019307
4023.200000345707,0.8365327
4023.250000346452,0.8313931
4023.300000347197,0.763658
4023.350000347942,0.51018053
4023.400000348687,0.49192432
4023.4500003494322,0.6868351
4023.5000003501773,0.9982465
4023.5500003509223,1.0634358
4023.6000003516674,0.82556504
4023.6500003524125,0.43614963
4023.7000003531575,0.44537246
4023.7500003539026,0.5897802
4023.8000003546476,0.8818524
4023.8500003553927,1.0834612
4023.9000003561378,1.0143461
4023.950000356883,0.7526342
4024.000000357628,0.5111424
4024.050000358373,0.40124002
4024.100000359118,0.44516397
4024.150000359863,0.7139919
4024.200000360608,1.0594232
4024.250000361353,1.1358935
4024.300000362098,0.9763659
4024.3500003628433,0.8419125
4024.4000003635883,0.6848075
4024.4500003643334,0.42419222
4024.5000003650784,0.2740016
4024.5500003658235,0.18253954
4024.6000003665686,0.17383027
4024.6500003673136,0.26781937
4024.7000003680587,0.25702554
4024.7500003688037,0.27276775
4024.800000369549,0.45025095
4024.850000370294,0.6642763
4024.900000371039,0.6919106
4024.950000371784,0.5359929
4025.000000372529,0.5015283
4025.050000373274,0.4033396
4025.100000374019,0.3013956
4025.150000374764,0.37629634
4025.2000003755093,0.491783
4025.2500003762543,0.7641536
4025.3000003769994,0.9766069
4025.3500003777444,0.8603038
4025.4000003784895,0.66009957
4025.4500003792346,0.68516964
4025.5000003799796,0.9370311
4025.5500003807247,1.1106634
4025.6000003814697,1.1664276
4025.650000382215,1.2675428
4025.70000038296,1.2245249
4025.750000383705,0.9904257
4025.80000038445,0.6475429
4025.850000385195,0.5735633
4025.90000038594,0.8446655
4025.950000386685,1.0482501
4026.00000038743,1.1542685
4026.0500003881752,0.9984353
4026.1000003889203,0.7530516
4026.1500003896654,0.5812785
4026.2000003904104,0.5618099
4026.2500003911555,0.8930888
4026.3000003919005,1.1162697
4026.3500003926456,0.9665387
4026.4000003933907,0.5739786
4026.4500003941357,0.40009728
4026.5000003948808,0.37243316
4026.550000395626,0.44668752
4026.600000396371,0.7451803
4026.650000397116,0.87245935
4026.700000397861,1.0383642
4026.750000398606,0.9694638
4026.800000399351,0.9760098
4026.850000400096,0.98038864
4026.9000004008412,0.74346876
4026.9500004015863,0.6302899
4027.0000004023314,0.41990596
4027.0500004030764,0.201097
4027.1000004038215,0.29812717
4027.1500004045665,0.49309126
4027.2000004053116,0.6176294
4027.2500004060566,0.8310398
4027.3000004068017,1.0098704
4027.3500004075468,0.8176064
4027.400000408292,0.76100415
4027.450000409037,0.8354369
4027.500000409782,0.95846236
4027.550000410527,1.0774655
4027.600000411272,0.9534275
4027.650000412017,0.7318249
4027.700000412762,0.8167797
4027.750000413507,1.04859
4027.8000004142523,1.0892329
4027.8500004149973,1.0191183
4027.9000004157424,0.8137926
4027.9500004164875,0.71434253
4028.0000004172325,0.80522525
4028.0500004179776,0.9939427
4028.1000004187226,1.128176
4028.1500004194677,1.2657585
4028.2000004202127,1.1782405
4028.250000420958,0.8815157
4028.300000421703,0.57347673
4028.350000422448,0.3701029
4028.400000423193,0.42528626
4028.450000423938,0.6284456
4028.500000424683,0.8582827
4028.550000425428,1.0061579
4028.600000426173,0.9781884
4028.6500004269183,1.1031735
4028.7000004276633,0.96282595
4028.7500004284084,0.8002936
4028.8000004291534,0.82978696
4028.8500004298985,1.0895679
4028.9000004306436,1.1223983
4028.9500004313886,0.98976195
4029.0000004321337,0.9884797
4029.0500004328787,1.0951316
4029.100000433624,1.172466
4029.150000434369,1.2812555
4029.200000435114,1.1616232
4029.250000435859,1.1604884
4029.300000436604,1.2511917
4029.350000437349,1.2438104
4029.400000438094,1.1896809
4029.450000438839,1.1819482
4029.5000004395843,1.0627313
4029.5500004403293,0.80832887
4029.6000004410744,0.5195837
4029.6500004418194,0.2833678
4029.7000004425645,0.43265712
4029.7500004433095,0.73891544
4029.8000004440546,0.98134613
4029.8500004447997,0.76266927
4029.9000004455447,0.78289676
4029.95000044629,0.8411388
4030.000000447035,0.8340527
4030.05000044778,0.73669064
4030.100000448525,0.727362
4030.15000044927,0.45986608
4030.200000450015,0.38694692
4030.25000045076,0.46967408
4030.300000451505,0.5670805
4030.3500004522502,0.51205575
4030.4000004529953,0.41526836
4030.4500004537404,0.29194742
4030.5000004544854,0.23541768
4030.5500004552305,0.20932727
4030.6000004559755,0.26913512
4030.6500004567206,0.124880485
4030.7000004574656,0.08870448
4030.7500004582107,0.065806575
4030.8000004589558,0.09638628
4030.850000459701,0.111001424
4030.900000460446,0.1581987
4030.950000461191,0.32026643
4031.000000461936,0.47584784
4031.050000462681,0.5586265
4031.100000463426,0.64307535
4031.150000464171,0.6630053
4031.2000004649162,0.58322126
4031.2500004656613,0.4431089
4031.3000004664063,0.47869614
4031.3500004671514,0.5029998
4031.4000004678965,0.7980295
4031.4500004686415,0.9306318
4031.5000004693866,0.9048292
4031.5500004701316,0.83176225
4031.6000004708767,0.6531611
4031.6500004716218,0.5681128
4031.700000472367,0.3380913
4031.750000473112,0.28458366
4031.800000473857,0.36880258
4031.850000474602,0.6002095
4031.900000475347,0.53762996
4031.950000476092,0.42456874
4032.000000476837,0.49171644
4032.050000477582,0.8646202
4032.1000004783273,1.0801358
4032.1500004790723,1.0922118
4032.2000004798174,1.1571468
4032.2500004805624,1.0138556
4032.3000004813075,0.88386035
4032.3500004820526,0.8130938
4032.4000004827976,0.6784996
4032.4500004835427,0.49602625
4032.5000004842877,0.44319278
4032.550000485033,0.3176752
4032.600000485778,0.25958323
4032.650000486523,0.2095598
4032.700000487268,0.33655402
4032.750000488013,0.52299017
4032.800000488758,0.56582445
4032.850000489503,0.4452677
4032.900000490248,0.37134016
4032.9500004909933,0.17499788
4033.0000004917383,0.13668819
4033.0500004924834,0.15602301
4033.1000004932284,0.12426924
4033.1500004939735,0.1442275
4033.2000004947186,0.24483398
4033.2500004954636,0.31629047
4033.3000004962087,0.49060774
4033.3500004969537,0.66177684
4033.400000497699,0.7479502
4033.450000498444,0.74221194
4033.500000499189,0.7535059
4033.550000499934,0.49820283
4033.600000500679,0.4390323
4033.650000501424,0.49417463
4033.700000502169,0.6608088
4033.750000502914,0.7152987
4033.8000005036592,0.7600194
4033.8500005044043,0.6534269
4033.9000005051494,0.5678768
4033.9500005058944,0.6276111
4034.0000005066395,0.72803694
4034.0500005073845,0.6602666
4034.1000005081296,0.5576614
4034.1500005088747,0.66300786
4034.2000005096197,0.62656045
4034.2500005103648,0.5306324
4034.30000051111,0.45310447
4034.350000511855,0.37011215
4034.4000005126,0.1971365
4034.450000513345,0.1550555
4034.50000051409,0.12478759
4034.550000514835,0.1478472
4034.60000051558,0.18410163
